Title,Artist
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake
Lovin On Me,Jack Harlow
Lil Boo Thang,Paul Russell
DJ Play A Christmas Song,Cher
Wrap Me Up,Jimmy Fallon & Meghan Trainor
White Horse,Chris Stapleton
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Save Me (with Lainey Wilson),Jelly Roll
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
All I Want for Christmas Is You,Mariah Carey
Find Your People,Drew Holcomb & The Neighbors
Need A Favor,Jelly Roll
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
Houdini,Dua Lipa
Lose Control,Teddy Swims
Standing Next to You,Jung Kook
3D,Jung Kook & Jack Harlow
Rockin' Around the Christmas Tree (Single),Brenda Lee
Standing Next to You (Band Version),Jung Kook
Thinkin’ Bout Me,Morgan Wallen
Standing Next to You (Future Funk Remix),Jung Kook
Standing Next to You (Holiday Remix),Jung Kook
Standing Next to You (PBR&B Remix),Jung Kook
Standing Next to You (Slow Jam Remix),Jung Kook
Standing Next to You (Latin Trap Remix),Jung Kook
Standing Next to You (Instrumental),Jung Kook
Paint The Town Red,Doja Cat
Cruel Summer,Taylor Swift
Water,Tyla
Where the Wild Things Are,Luke Combs
Now And Then,The Beatles
90s Rap Mashup,Austin Williams
Fast Car,Luke Combs
Last Night,Morgan Wallen
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
greedy,Tate McRae
Daylight,David Kushner
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Last Christmas (Single Version),Wham!
White Christmas,Bing Crosby
Rich Men North of Richmond,Oliver Anthony Music
Snowman,Sia
Used To Be Young,Miley Cyrus
The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks
Christmas Tree Farm,Taylor Swift
Fancy Like Christmas,Walker Hayes
MONACO,Bad Bunny
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
Lover,Taylor Swift
Save Me,Jelly Roll
Wild Ones (Extended Version),Jessie Murph & Jelly Roll
Underneath the Tree,Kelly Clarkson
Karma,Taylor Swift
A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
You're the Inspiration,Chicago
Sin So Sweet,Warren Zeiders
Flowers,Miley Cyrus
Son Of A Sinner,Jelly Roll
This Wish,Ariana DeBose & Disney
It's Beginning To Look a Lot Like Christmas,Michael Bublé
TRUCK BED,HARDY
To Be A Man (feat. Darius Rucker),Dax
Tennessee Whiskey,Chris Stapleton
Labios Mordidos,Kali Uchis & KAROL G
Anti-Hero,Taylor Swift
Calm Down,Rema & Selena Gomez
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton
Watermelon Moonshine,Lainey Wilson
Seven (Explicit Ver.),Jung Kook & Latto
exes,Tate McRae
Islands In the Stream,Dolly Parton & Kenny Rogers
Unstoppable,Sia
Love Story (Taylor’s Version),Taylor Swift
Dance The Night,Dua Lipa
It's the Most Wonderful Time of the Year,Andy Williams
Something in the Orange (Z&E's Version),Zach Bryan
...Ready For It?,Taylor Swift
A Lot More Free,Max McNown
ONE MORE TIME,blink-182
World On Fire,Dolly Parton
"Christmas (Baby, Please Come Home) [with Darlene Love]",Cher
Rolling in the Deep,Adele
Dirt Cheap,Cody Johnson
The Thanksgiving Song,Adam Sandler
Merry Christmas,Ed Sheeran & Elton John
The Painter,Cody Johnson
Linus and Lucy,Vince Guaraldi Trio
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Good Good,"USHER, Summer Walker & 21 Savage"
"Mary, Did You Know?",CeeLo Green
Blank Space (Taylor's Version),Taylor Swift
Rumble,KingLee
Dial Drunk,Noah Kahan & Post Malone
Evil Ways (feat. J. Cole),Drake
23,Chayce Beckham
Snooze,SZA
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Greedy,Tate McRae
Thinkin' Bout Me,Morgan Wallen
Agora Hills,Doja Cat
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
All I Want For Christmas Is You,Mariah Carey
Fukumean,Gunna
Save Me,Jelly Roll With Lainey Wilson
Vampire,Olivia Rodrigo
Monaco,Bad Bunny
First Person Shooter,Drake Featuring J. Cole
IDGAF,Drake Featuring Yeat
What Was I Made For?,Billie Eilish
Good Good,"Usher, Summer Walker & 21 Savage"
My Love Mine All Mine,Mitski
Stick Season,Noah Kahan
Last Christmas,Wham!
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
Dial Drunk,Noah Kahan With Post Malone
What It Is (Block Boy),Doechii Featuring Kodak Black
Kill Bill,SZA
Northern Attitude,Noah Kahan With Hozier
Jingle Bell Rock,Bobby Helms
Harley Quinn,Fuerza Regida & Marshmello
I Know ?,Travis Scott
Wild Ones,Jessie Murph & Jelly Roll
A Holly Jolly Christmas,Burl Ives
Barbie World,Nicki Minaj & Ice Spice With Aqua
Pretty Little Poison,Warren Zeiders
World On Fire,Nate Smith
On My Mama,Victoria Monet
Slut! (Taylor's Version) [From The Vault],Taylor Swift
Standing Next To You,Jung Kook
500lbs,Lil Tecca
Strangers,Kenya Grace
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
Bad Idea Right?,Olivia Rodrigo
Great Gatsby,Rod Wave
Get Him Back!,Olivia Rodrigo
Can't Have Mine,Dylan Scott
Virginia Beach,Drake
Everything I Love,Morgan Wallen
Standing Room Only,Tim McGraw
Try That In A Small Town,Jason Aldean
Cobra,Megan Thee Stallion
Truck Bed,HARDY
Qlona,Karol G & Peso Pluma
Too Much,"The Kid LAROI, Jung Kook & Central Cee"
Perro Negro,Bad Bunny & Feid
Hey Driver,Zach Bryan Featuring The War And Treaty
Style (Taylor's Version),Taylor Swift
Rich Men North Of Richmond,Oliver Anthony Music
Meltdown,Travis Scott Featuring Drake
Bongos,Cardi B & Megan Thee Stallion
Slime You Out,Drake Featuring SZA
Segun Quien,Maluma & Carin Leon
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Single Soon,Selena Gomez
Burn It Down,Parker McCollum
LaLa,Myke Towers
Bad Blood (Taylor's Version),Taylor Swift
Can't Catch Me Now,Olivia Rodrigo
Turks & Caicos,Rod Wave Featuring 21 Savage
SkeeYee,Sexyy Red
Out Of The Woods (Taylor's Version),Taylor Swift
Wildest Dreams (Taylor's Version),Taylor Swift
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Save Me The Trouble,Dan + Shay
Stars Like Confetti,Dustin Lynch
LALALALA,Stray Kids
Seven,Jung Kook Featuring Latto
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Smurk Carter,Lil Durk
Mi Ex Tenia Razon,Karol G
Different 'Round Here,Riley Green Featuring Luke Combs
But I Got A Beer In My Hand,Luke Bryan
Better Than Ever,YoungBoy Never Broke Again & Rod Wave
Soak City (Do It),310babii
